Olten SO;2635333;1244317
Basel;2610307;1267397
Brugg AG;2658033;1259592
Schaffhausen;2689800;1283612
Frauenfeld TG;2709800;1268372
St. Gallen;2746153;1254645
Appenzell AR;2747123;1250716
Appenzell IR;2748747;1243890
Chur;2759300;2759300
Näfels GL;2723367;1218058
Zug;2681967;1224725
Schwyz;2692200;1208225
Altdorf UR;2690200;1193658
Luzern;2665920;1211397
Stans NW;2670573;1201090
Sarnen OW;2661440;1193970
Bellinzona TI;2722067;1116625
Chiasso TI;2723167;1077758
Sion VS;2592900;1118892
Lausanne VD;2537213;1151983
Genf;2500393;1118778
Fribourg;2578840;1183810
Bern;2600247;1199598
Neuenburg;2561240;1204690
Delémont JU;2592200;1245725
Zürich;2682940;1248112
